Status;Name;fomat (coords);Genauigkeit (A=genau auf anlage, R= Region, f=feld);Koordinaten;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;Garching bei München;Gauss-Krüger-Koordinaten;;48.2613, 11.6629;Bayern;Hydrogeothermie;9,8;;75;2226,3;100;42,8;;2011;;Wärme;Dublette;Fernwärme;;Kalkstein;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Aschheim, Feldkirchen, Kirchheim;Gauss-Krüger-Koordinaten;;48.1705, 11.7350;Bayern;Hydrogeothermie;12,4;;87,1;2.630;84,7;75,34;;2009;;Wärme;Dublette;Fernwärme;;Kalksandstein;kommunal;Molassebecken;;AFK Geothermie GmbH;2. Dublette geplant;;;
B_Projekt in Bau;Laufzorn II;;;48.01460519793755, 11.553430596269715;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/erdwaerme-gruenwald-erhaelt-61-millionen-euro-bundesfoerderung-fuer-neue-geothermie-bohrung?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
B_Projekt in Bau;Kirchweidach II ;;;48.084932918448494, 12.645248863893956;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://kirchweidach.de/kirchweidach/startseite/aktuelles/bohrstart-am-geothermieprojekt-kirchweidach-ii.html;;;;;
B_Projekt in Bau;Neuperlach (Michaelibad);;;48.11672914961414, 11.636773335568694;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;GT Tüßling ;;;48.21203974640237, 12.60113695637902;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;München Allach (MTU) / Karlsfeld Ost;;;48.21324297540055, 11.480947708966209;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.mtu.de/de/ueber-uns/corporate-responsibility/produktion-instandsetzung/geothermie/;;;;;
B_Projekt in Bau;Aachen-Weisweiler ;rh;a;48.84745290090928, 8.755696250173637;Nordrhein-Westfalen;Sonde;;;150;5000;;;;;27.02.2020 - 26.02.2025;;;;;;;;;RWE Power Aktiengesellschaft in Köln und Essen, Forschung durch Fraunhofer IEG;;;;
B_Projekt in Bau;Geretsried;;;48.8553759312248, 8.216217721538355;Bayern;Geschlossenes tiefengeothermisches System;;;155,3;4.736;5;;;;;;;;Dolomit;;privater Investor;Molassebecken;;;Eavor-Loop;;;
B_Projekt in Bau;Graben-Neudorf;;ß;49.403157, 8.585578;Baden-Württemberg;Hydrogeothermie;;;;;;;;2024;;;;;;53 Grad Celsius;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/graben-neudorf/;Vulcan Energy/Geohardt;;;;
