Status;Name;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
B_Projekt in Bau;Geretsried;Bayern;Geschlossenes tiefengeothermisches System;64;8,2;155,3;4.736;;;;;;;;;Dolomit;;privater Investor;Molassebecken;;;Eavor-Loop;;;
B_Projekt in Bau;Kirchweidach II ;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://kirchweidach.de/kirchweidach/startseite/aktuelles/bohrstart-am-geothermieprojekt-kirchweidach-ii.html;;;;;
B_Projekt in Bau;GT Tüßling ;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Reallabor Geospeicher Berlin;Berlin;Aquiferspeicher;;;ca. 90 ;360 - 390;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Potsdam;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;Hamburg-Wilhelmsburg;Hamburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;Frankfurt am Main;Hessen;Forschung;;;;;;;;;;;;;;;;;letzte News: https://frankfurt.de/de-de/aktuelle-meldung/energiereferat/geothermie-forschungsbohrung-rebstock/;;;;;
B_Projekt in Bau;Darmstadt;Hessen;"Erdwärmesondenspeicher
/ Forschung";;;;;;;;;;;;;;;;;Projektinfo: https://www.geo.tu-darmstadt.de/geothermie/forschungsprojekte_ag/laufende_projekte_ag/skews.de.jsp;;;;;
B_Projekt in Bau;Aachen-Weisweiler ;Nordrhein-Westfalen;Sonde;;;150;5000;;;;;27.02.2020 - 26.02.2025;;;;;;;;;RWE Power Aktiengesellschaft in Köln und Essen, Forschung durch Fraunhofer IEG;;;;
C_Forschungsprojekte ;Mauerstetten;Bayern;Forschung;;;130;4.080;;;;;;;;;;;;Molassebecken;;;;;;
C_Forschungsprojekte ;Groß Schönebeck;Brandenburg;Forschung;;1;150;4.309;;;;2011 ;;;2;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;Hannover;Niedersachsen;Forschung;2;;169;3.820;;;;;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;Horstberg;Niedersachsen;Forschung;;;159;3.920;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Aachen - GEObservatorium;Nordrhein-Westfalen;Forschung;;;;;;;;;18.07.2022 bis 17.07.2027;;;;;;;;;"GEObservatorium Aachen, RWTH AACHEN UNIVERSITY	";;;;
C_Forschungsprojekte ;Zwickau;Sachsen;Grubenwasser;;;26;628;;;;2018;;Wärme;;;;;;;https://www.saechsische.de/nachhaltigkeit/sachsen-waerme-reservoir-themalwasser-vogtland-waerme-aus-grosser-tiefe-kommunen-suchen-klimaschonende-loesung-5894696.html;;;;;
C_Forschungsprojekte ;HDR Bad Urach;Baden-Württemberg;Hot-Dry-Rock;;;;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte ;Alsdorf;Nordrhein-Westfalen;Forschung;;;26;900;;;;2018;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;München Allach (MTU);Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.mtu.de/de/ueber-uns/corporate-responsibility/produktion-instandsetzung/geothermie/;;;;;
D_Projekt in Planung;Bad Waldsee II;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.12.2027;;;;;;kommunal;Molassebecken;;Stadtwerke Bad Waldsee GmbHHauptstraße 2988339 Bad Waldsee;;;;
D_Projekt in Planung;Waldnerturm;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lörrach;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026.;;;;;;;;;;;;;
D_Projekt in Planung;Lahr;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;;;;;;;;
D_Projekt in Planung;"Dettenheim ""Erlich""";Baden-Württemberg;Hydrogeothermie;;;;;;;;;28.02.2025;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;KIT Campus Nord II;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026;;;;;;privater Investor;Oberrheingraben;;Arbeitsgemeinschaft Karlsruher Institut für Technologie (KIT) / EnBW Energie Baden-Württemberg AGKaiserstraße 1276131 Karlsruhe;;;;
D_Projekt in Planung;Freiburg/ Südlicher Oberrhein;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.04.2024;;;;;;privater Investor;Oberrheingraben;;badenova WärmePlus GmbH & Co. KGTullastraße 6179108 Freiburg;;;;
D_Projekt in Planung;Hardt;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.03.2026;;;;;;privater Investor;Oberrheingraben;https://www.rnf.de/mediathek/video/geothermie-die-suche-nach-heissem-wasser-in-3500-metern-tiefe/;GeoHardt GmbHScheffelstraße 1668723 Schwetzingen;Gehört zu EnBW, (Kölbel);;;
D_Projekt in Planung;Karlsdorf III;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Karlsruhe-Rheinhafen;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2028;;;;;;;;;EnBW undStadtwerke Karlsruhe;;;;
D_Projekt in Planung;Karlsruhe-Süd II;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2027;;;;;;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/karlsruhe-neureut/;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;Standortsuche findet statt;;;
D_Projekt in Planung;Mannheim;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ortenau II;Baden-Württemberg;Hydrogeothermie;;;100;3.000;;;;;31.12.2025;;;;;;privater Investor;Oberrheingraben;;Vulcan Energie Ressourcen GmbHAmalienbadstraße 41, Bau 5276227 Karlsruhe;;;;
D_Projekt in Planung;Biberach a.d.Riß.;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.09.2028;;;;;;;;;;;;;
D_Projekt in Planung;Käfersteige;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2026;;;;;;;;;;;;;
D_Projekt in Planung;Römerbad;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.10.2024;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;Raum Ravensburg;Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Philippsburg ""Waghäusel""";Baden-Württemberg;Hydrogeothermie;;;;;;;;;;;;;;;privater Investor;Oberrheingraben;Bürgerentscheid am 23.3.23;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;Weinheim-Süd;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;;;;;;;
D_Projekt in Planung;Gauting Ost;Bayern;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;Molassebecken;;;;;;
D_Projekt in Planung;"""GT Törring"" II";Bayern;Hydrogeothermie;;;;;;;;;30.04.2028;;;;;;;;;;;;;
D_Projekt in Planung;Gauting West;Bayern;Hydrogeothermie;;;;;;;;;31.03.2025;;;;;;;;;;;;;
D_Projekt in Planung;Engelsberg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dingharting-Attenham;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Planegg/Gräfelfing;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.geothermie-graefelfing.de/bisherige-schritte;;;;;
D_Projekt in Planung;Karlsfeld Nord;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Laufzorn II;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/erdwaerme-gruenwald-erhaelt-61-millionen-euro-bundesfoerderung-fuer-neue-geothermie-bohrung?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
D_Projekt in Planung;"Seefeld ""Vierseen""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
