Status;Name;Koordinaten;Koordinaten Quelle;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos
D_Projekt in Planung;Schwielowsee;52.311220, 12.930138;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Neuruppin;52.95453749288014, 12.825719474771933;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;
B_Projekt in Bau;Potsdam;52.384704, 13.076484 ;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/bohrung-in-neuruppin-erreicht-500-meter-marke?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;
D_Projekt in Planung;Hemelingen;53.05239739317355, 8.89833254466889;;Bremen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Hamburg-Wilhelmsburg;53.49980094145574, 10.018523508436584;;Hamburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;
A_Projekt in Betrieb;Heubach/Groß-Umstadt;49.84101897783786, 8.954197353149135;geotis;Hessen;Sonde;0,09;;36,7;773;5;;;2012;;Wärme;Tiefe Erdwärmesonde + 8 flache Erdwärmesonden;Beheizung Produktionshallen, Büros -> Nahwärme;;Kristallin;kommunal;;;;
B_Projekt in Bau;Darmstadt;49.87154589534785, 8.648628854564983;;Hessen;"Erdwärmesondenspeicher
/ Forschung";;;;;;;;;;;;;;;;;Projektinfo: https://www.geo.tu-darmstadt.de/geothermie/forschungsprojekte_ag/laufende_projekte_ag/skews.de.jsp;;
B_Projekt in Bau;Frankfurt am Main;50.10978686925627, 8.67630782564379;;Hessen;Forschung;;;;;;;;;;;;;;;;;letzte News: https://frankfurt.de/de-de/aktuelle-meldung/energiereferat/geothermie-forschungsbohrung-rebstock/;;
D_Projekt in Planung;"Einhausen ""Jägersburg""";49.67228189268898, 8.547702641322267;;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;Bei Biblis;https://rim.ekom21.de/lampertheim/sdnetrim/UGhVM0hpd2NXNFdFcExjZXszAKY_3xXBc9_taFXxMWeA5QJXA9haPZ1atK8RWJLv/Anlage2_Karte_zum_Ausschluss_von_Gebieten_mit_potenziellen_Nutzungskonflikten_fuer_das_Bohren.pdf;Eavor;
D_Projekt in Planung;Lampertheim I;49.60101729555329, 8.471756006871416;;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lampertheim II;49.60205500948561, 8.49202248367049;;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
